concept,members,concept_rows,decision,kind,numbered_variant,metric_id,rows,unit,handbook_text,example_context
deletions during year,11,6619,,DIFFERENT UNITS,,deletions_during_the_year__count,2887,COUNT,Deletions during the year ('000s),In-Force Policies|Linked Business - Life business / In-Force Policies|
deletions during year,11,6619,,DIFFERENT UNITS,,deletions_during_the_year__inr,1641,INR,Deletions during the year (₹Crore),In-Force Sum Assured|Linked VIP-General Annuity Business / In-Force Su
deletions during year,11,6619,,DIFFERENT UNITS,YES,deletions_during_the_year_2__count,423,COUNT,Deletions during the year (2) ('000s),In-Force Policies|Linked General annuity business / In-Force Policies|
deletions during year,11,6619,,DIFFERENT UNITS,YES,deletions_during_the_year_4__inr,212,INR,Deletions during the year (4) (₹Crore),In-Force Sum Assured|Non Linked Life Business
deletions during year,11,6619,,DIFFERENT UNITS,YES,deletions_during_the_year_5__inr,212,INR,Deletions during the year (5) (₹Crore),In-Force Sum Assured|Non Linked Life Business
deletions during year,11,6619,,DIFFERENT UNITS,YES,deletions_during_the_year_7__inr,212,INR,Deletions during the year (7) (₹Crore),In-Force Sum Assured|Non Linked Life Business
deletions during year,11,6619,,DIFFERENT UNITS,YES,deletions_during_the_year_2__inr,211,INR,Deletions during the year (2) (₹Crore),In-Force Sum Assured|Non Linked Life Business
deletions during year,11,6619,,DIFFERENT UNITS,YES,deletions_during_the_year_3__inr,209,INR,Deletions during the year (3) (₹Crore),In-Force Sum Assured|Non Linked Life Business
deletions during year,11,6619,,DIFFERENT UNITS,YES,deletions_during_the_year_9__inr,207,INR,Deletions during the year (9) (₹Crore),In-Force Sum Assured|Non Linked Life Business
deletions during year,11,6619,,DIFFERENT UNITS,YES,deletions_during_the_year_8__inr,204,INR,Deletions during the year (8) (₹Crore),In-Force Sum Assured|Non Linked Life Business
deletions during year,11,6619,,DIFFERENT UNITS,YES,deletions_during_the_year_6__inr,201,INR,Deletions during the year (6) (₹Crore),In-Force Sum Assured|Non Linked Life Business
additions during year,11,6617,,DIFFERENT UNITS,,additions_during_the_year__count,2888,COUNT,Additions during the year ('000s),In-Force Policies|Linked Business - Life business / In-Force Policies|
additions during year,11,6617,,DIFFERENT UNITS,,additions_during_the_year__inr,1642,INR,Additions during the year (₹Crore),In-Force Sum Assured|Linked VIP-General Annuity Business / In-Force Su
additions during year,11,6617,,DIFFERENT UNITS,YES,additions_during_the_year_2__count,423,COUNT,Additions during the year (2) ('000s),In-Force Policies|Linked General annuity business / In-Force Policies|
additions during year,11,6617,,DIFFERENT UNITS,YES,additions_during_the_year_4__inr,212,INR,Additions during the year (4) (₹Crore),In-Force Sum Assured|Non Linked Life Business
additions during year,11,6617,,DIFFERENT UNITS,YES,additions_during_the_year_5__inr,212,INR,Additions during the year (5) (₹Crore),In-Force Sum Assured|Non Linked Life Business
additions during year,11,6617,,DIFFERENT UNITS,YES,additions_during_the_year_7__inr,212,INR,Additions during the year (7) (₹Crore),In-Force Sum Assured|Non Linked Life Business
additions during year,11,6617,,DIFFERENT UNITS,YES,additions_during_the_year_2__inr,211,INR,Additions during the year (2) (₹Crore),In-Force Sum Assured|Non Linked Life Business
additions during year,11,6617,,DIFFERENT UNITS,YES,additions_during_the_year_3__inr,209,INR,Additions during the year (3) (₹Crore),In-Force Sum Assured|Non Linked Life Business
additions during year,11,6617,,DIFFERENT UNITS,YES,additions_during_the_year_9__inr,205,INR,Additions during the year (9) (₹Crore),In-Force Sum Assured|Non Linked Life Business
additions during year,11,6617,,DIFFERENT UNITS,YES,additions_during_the_year_8__inr,203,INR,Additions during the year (8) (₹Crore),In-Force Sum Assured|Non Linked Life Business
additions during year,11,6617,,DIFFERENT UNITS,YES,additions_during_the_year_6__inr,200,INR,Additions during the year (6) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business financial force start year,11,6604,,DIFFERENT UNITS,,business_in_force_at_start_of_the_financial_year__count,2882,COUNT,Business in force at start of the financial year ('000s),In-Force Policies|Linked Business - Life business / In-Force Policies|
business financial force start year,11,6604,,DIFFERENT UNITS,,business_in_force_at_start_of_the_financial_year__inr,1637,INR,Business in force at start of the financial year (₹Crore),In-Force Sum Assured|Linked VIP-General Annuity Business / In-Force Su
business financial force start year,11,6604,,DIFFERENT UNITS,YES,business_in_force_at_start_of_the_financial_year_2__count,422,COUNT,Business in force at start of the financial year (2) ('000s),In-Force Policies|Linked General annuity business / In-Force Policies|
business financial force start year,11,6604,,DIFFERENT UNITS,YES,business_in_force_at_start_of_the_financial_year_4__inr,212,INR,Business in force at start of the financial year (4) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business financial force start year,11,6604,,DIFFERENT UNITS,YES,business_in_force_at_start_of_the_financial_year_5__inr,212,INR,Business in force at start of the financial year (5) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business financial force start year,11,6604,,DIFFERENT UNITS,YES,business_in_force_at_start_of_the_financial_year_7__inr,212,INR,Business in force at start of the financial year (7) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business financial force start year,11,6604,,DIFFERENT UNITS,YES,business_in_force_at_start_of_the_financial_year_2__inr,211,INR,Business in force at start of the financial year (2) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business financial force start year,11,6604,,DIFFERENT UNITS,YES,business_in_force_at_start_of_the_financial_year_3__inr,209,INR,Business in force at start of the financial year (3) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business financial force start year,11,6604,,DIFFERENT UNITS,YES,business_in_force_at_start_of_the_financial_year_9__inr,205,INR,Business in force at start of the financial year (9) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business financial force start year,11,6604,,DIFFERENT UNITS,YES,business_in_force_at_start_of_the_financial_year_8__inr,202,INR,Business in force at start of the financial year (8) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business financial force start year,11,6604,,DIFFERENT UNITS,YES,business_in_force_at_start_of_the_financial_year_6__inr,200,INR,Business in force at start of the financial year (6) (₹Crore),In-Force Sum Assured|Non Linked Life Business
others,4,1177,,SAME-UNIT DUPLICATE,,c_others__inr,519,INR,(c) Others (₹Crore),Shareholders Account|General / Shareholders Account|Income From Invest
others,4,1177,,SAME-UNIT DUPLICATE,YES,c_others_2__inr,398,INR,(c) Others (2) (₹Crore),Shareholders Account|General
others,4,1177,,SAME-UNIT DUPLICATE,,e_others__inr,173,INR,(e) Others (₹Crore),Shareholders Account|General
others,4,1177,,SAME-UNIT DUPLICATE,,b_others__inr,87,INR,(b) Others (₹Lakh),Policyholders Account|Premiums earned – net
12 6 months within,3,828,,DIFFERENT UNITS,,within_6_12_months__inr,283,INR,Within 6-12 months (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
12 6 months within,3,828,,DIFFERENT UNITS,YES,within_6_12_months_2__count,273,COUNT,Within 6-12 months (2) (Nos.),Micro-Insurance Claim Settlement - Group|Settlement of claims- Benefit
12 6 months within,3,828,,DIFFERENT UNITS,,within_6_12_months__count,272,COUNT,Within 6-12 months (Nos.),Micro-Insurance Claim Settlement - Group|Settlement of claims- Benefit
12 months more than,3,828,,DIFFERENT UNITS,,more_than_12_months__inr,283,INR,More than 12 months (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
12 months more than,3,828,,DIFFERENT UNITS,YES,more_than_12_months_2__count,273,COUNT,More than 12 months (2) (Nos.),Micro-Insurance Claim Settlement - Group|Settlement of claims- Benefit
12 months more than,3,828,,DIFFERENT UNITS,,more_than_12_months__count,272,COUNT,More than 12 months (Nos.),Micro-Insurance Claim Settlement - Group|Settlement of claims- Benefit
3 6 months within,3,828,,DIFFERENT UNITS,,within_3_6_months__inr,283,INR,Within 3-6 months (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
3 6 months within,3,828,,DIFFERENT UNITS,YES,within_3_6_months_2__count,273,COUNT,Within 3-6 months (2) (Nos.),Micro-Insurance Claim Settlement - Group|Settlement of claims- Benefit
